Sample,Date,Site,Diptera,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Orius ,Ceropidae,Nabidae,Alydidae,Derbidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Buprestidae,Elateridae,Unknown coleoptera,Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocidae,Acarina,Hemerobidae,Zygoptera
C1,7/1/2020,Dix,34,0,0,3,7,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,139,0,0,0,0,0
C2,7/1/2020,Dix,37,1,0,2,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,110,0,0,0,0,0
C5,7/1/2020,Allerton,90,0,0,9,7,0,0,0,2,2,11,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,43,0,0,1,0,0
C6,7/1/2020,Allerton,82,0,0,5,13,0,0,0,2,3,6,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,50,0,0,1,0,0
C7,7/1/2020,Rec,30,0,0,1,4,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,86,0,0,0,0,0
C8,7/1/2020,Rec,48,0,0,0,3,0,0,0,3,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,80,0,0,0,0,0
C9,7/15/2020,Dix,24,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0
C10,7/15/2020,Dix,21,0,0,0,3,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0
C11,7/15/2020,Allerton,75,0,0,1,8,0,0,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32,0,1,0,0,0
C12,7/15/2020,Allerton,78,0,0,5,10,0,0,0,17,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,40,0,1,0,0,0
C13,7/15/2020,Rec,22,0,0,1,6,0,0,0,6,0,11,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,58,0,1,0,0,0
C14,7/15/2020,Rec,35,0,0,1,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0
C15,7/27/2020,Dix,47,0,1,1,2,0,0,0,14,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,51,1,0,0,0,0
C16,7/27/2020,Dix,26,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
C17,7/27/2020,Allerton,67,0,0,0,5,0,0,0,21,0,3,20,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0
C18,7/27/2020,Allerton,107,0,0,2,6,0,0,0,17,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,36,0,1,1,0,0
C19,7/27/2020,Rec,15,0,0,0,9,0,0,0,3,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0
C20,7/27/2020,Rec,17,1,0,0,9,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0
C21,8/11/2020,Dix,56,0,0,0,6,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,2,12,1,0,0,0,0
C22,8/11/2020,Dix,47,0,1,1,10,0,0,0,3,0,1,5,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,3,1,1,0,0,0,34,0,1,0,0,0
C23,8/11/2020,Rec,28,0,0,3,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,3,1,0,0,0,15,0,1,0,0,0
C24,8/11/2020,Rec,30,0,0,0,6,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0
C25,8/11/2020,Allerton,80,0,0,4,21,0,0,0,8,0,9,17,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,6,0,0,0,0,18,1,0,2,0,0
C26,8/11/2020,Allerton,105,0,0,0,11,0,0,0,6,0,6,12,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0
C27,8/26/2020,Dix,20,0,0,7,6,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
C28,8/26/2020,Dix,30,0,0,2,9,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
C29,8/26/2020,Allerton,38,0,0,3,19,0,0,0,3,0,24,5,0,0,0,0,0,1,0,0,28,0,3,0,8,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0
C30,8/26/2020,Allerton,36,0,0,5,12,0,0,0,2,0,14,3,0,0,0,0,0,0,0,0,32,0,0,0,9,0,0,0,0,0,1,0,0,3,10,0,2,0,0,0
C31,8/26/2020,Rec,11,0,0,2,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,27,0,1,0,0,0
C32,8/26/2020,Rec,15,0,0,2,7,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,8,0,4,0,0,0
C33,9/7/2020,Dix,7,0,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
C34,9/7/2020,Dix,6,0,0,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
C35,9/7/2020,Allerton,40,0,0,2,32,0,0,0,0,0,38,12,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0
C36,9/7/2020,Allerton,25,0,1,1,44,0,1,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0
C37,9/7/2020,Rec,18,0,1,1,9,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0
C38,9/7/2020,Rec,13,0,1,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
C39,9/23/2020,Dix,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
C40,9/23/2020,Dix,8,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,0,0,0
C41,9/23/2020,Allerton,10,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
C42,9/23/2020,Allerton,16,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
C43,9/23/2020,Rec,17,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
C44,9/23/2020,Rec,21,2,0,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
